place_id,user_id,score,comment
화공,junheuk sung,4.0,괜찬아요 고기육수 짬뽕
화공,김진훈,5.0,"찹쌀탕수육, 깐풍기, 중화비빔밥이 맛있습니다."
화공,날다람지,5.0,짬뽕 전문 맛집 인정합니다  굿굿
화공,Detroit_ zerg,5.0,너무너무 맛있음 10번가세요!
화공,ddongja,4.0,쏘쏘
화공,WON SIK KIM,4.0,음식 퀄리티가 나쁘지않았음
화공,김준휘,5.0,담백하게 맛잇음 자주방문중
화공,박주영,5.0,짬뽕이 정말 맛있는 집
화공,LGN_ Shura_Xx,1.0,갔는데 별로 였습니다
화공,박영진,5.0,a코스 가성비 최고
화공,이진철,3.0,적당히먹을만한곳
화공,댕댕댕댕,3.0,볶음밥이 너무 해놓은티가남
화공,김병호,5.0,맛있어요~~
화공,장종윤,5.0,맛있어요
화공,어부84,5.0,맛있어요
화공,도다리,5.0,너무 맛나죠~^^
화공,heffi st,5.0,개맛있음
화공,Seok Moon Kang,5.0,맛집입니다
화공,jerome Shin,3.0,
화공,신동윤,5.0,가성비 굿
화공,이은숙,4.0,불맛짱
화공,유은희,5.0,존맛탱
화공,이성동,5.0,괞찮음
화공,따봉또치,5.0,
화공,이제엽,5.0,Very delicous and fun
화공,Dongman Lee,5.0,
화공,혜린김,2.0,
화공,Horizon,5.0,Cool
화공,Randy Rhoads,4.0,
화공,김재수,3.0,
화공,김진석,5.0,
화공,전미영,4.0,
화공,박현규,3.0,
화공,김주현,5.0,
화공,최석관,4.0,
화공,송원용,3.0,
화공,seokeun kwak,4.0,
화공,김진태,3.0,
화공,KB Lee,4.0,
화공,허원현,3.0,
화공,니체스미노프,4.0,
화공,김강현,3.0,
화공,유경튜브,5.0,
화공,youngwoo lee,5.0,
화공,째비,4.0,
화공,안미경,5.0,
화공,JY C,5.0,
화공,Jungdall Yang,3.0,
화공,NW K,5.0,
화공,김병완,4.0,
화공,Bajirak Kal Guksu,4.0,
화공,rx nj,5.0,
화공,김기환,5.0,
화공,김부신,4.0,
화공,임춘성,5.0,
화공,MinGyo Jeong,3.0,
화공,김오현,3.0,
화공,이광욱,5.0,
화공,강유진,3.0,
화공,공호영,3.0,
화공,성훈허,4.0,
화공,김형구,5.0,
화공,DY N,4.0,
화공,넥타르,4.0,
화공,wonjae Jeong,4.0,
화공,손권호,5.0,
화공,풍강원,4.0,
화공,ki-tae Kwon,5.0,
화공,JOOHEE PARK,5.0,
화공,김태호,2.0,
화공,양철나무꾼,5.0,
화공,이나연,5.0,
화공,n astro (astron),5.0,
화공,김승옥,5.0,
화공,pinkred,4.0,
화공,정성원,4.0,
화공,박선영,4.0,
화공,기동,5.0,
화공,성안지존,5.0,
화공,김더건,4.0,
화공,Many Lee,5.0,
화공,DoA (DOA),5.0,
화공,이글아이,4.0,
화공,이이이디디이,5.0,
화공,김경민,4.0,
화공,장윤미,5.0,
화공,이상진,4.0,
화공,이재학,3.0,
화공,변영운,5.0,
화공,鄭,1.0,볶음밥 그닥쟁반짜장도 그닥볶음밥에 나오는 짬뽕궁물은  쓰레기국... 어떻게 그런맛을..그리고 식초는 왜이리 안나오는지..식초아껴부자될집이로세.
화공,점례,3.0,코스요리 다른 건 다 괜찮은데 짜장 짬뽕이 별로..그리고 불친절했었던 기억.
화공,미곰74,2.0,A코스인데. 그냥 저냥 그래요
화공,mus,3.0,코스요리 안 먹어서 가성비는 모르겠고 대체적으로 불친절하고 맛집정도는 아니에요 실망했어요
화공,지성,5.0,중화비빔밥 핵꿀맛입니다
화공,호야,1.0,하나도아깝네요!거지도아니고..대충성의없이..사장님없이 알바만근무하는듯..요리비추..
화공,요술공주,4.0,코스요리 가성비는 짱이구요~~자장면 면퍼짐은 복불복으로 있는거 같아요
화공,명촌토박이,1.0,탕수육 너무너무 딱딱함 나머지는 보통
화공,송송이,4.0,
화공,욱이,5.0,친절하고 깔끔하네요코스요리 먹었는데 가성비가 좋네요 전부다 맛있게먹었습니자
화공,임군신도(임승태),3.0,맛집이라기에는 애매함. 양은 푸짐한듯
화공,송성원,5.0,왜 평점이 안좋은지 모르겠네요ㅎ쟁반짜장이랑 잡채밥 그리고 탕수육 먹었는데 존맛!
화공,김영남,1.0,주인 불친절4시에 혼자왔는데 짜장밖에 주문안된다고함5분 후 여성분 4명왔는데 종류별로 다 주문함사람가리는데 장사하는 사람 맞는지 의문이감그리고 짜장과 볶음밥 모두 맛도 기대 이하
화공,ㄹㅇ,1.0,"별로임. 맛은 그냥그렇고 그걸 떠나서 눈에 보이는 위생상태가 안좋음. 주방에서 요리사 둘 다 모자 안씀. 한 분 웍으로 불질하는 요리사분은 요리용 위생마스크도 안끼고 조리 중. 말도 하심..ㅎㅎ홀 직원 분은 쟁반없이 서빙. 그럴 수도 있다치는데, 그릇 세 개 들고 나오는데, 양손에 하나씩. 남은 하나는 가슴 쪽 어떻게 안아서 받쳐들고 오는데 불안하기도 하고 먹을 음식인데 좀 깔끔하게 가져오시면 좋겠음.식사는 A코스요리 주문. 류산슬-고추잡채-깐쇼새우-탕수육-식사 순으로 나옴. 류산슬, 고추잡채 짬. 깐쇼새우는 케찹베이스로 호불호 갈릴 듯. 짬뽕은 맵지 않고 좀 부드러운 라면국물 느낌."
화공,bom_m.t,1.0,"A코스 먹었는데, 고추잡채 엄청짜고ㅜㅜ짬뽕은 달고..ㅠㅠ그리고 무엇보다..주방에서 일하시는분들..마스크도안끼고, 모자도 안쓰시고 하시네요..코로나때매 안그래도 불안한대...코로나 아니더라도 주방에서 마스크랑 모자는 기본이죠ㅠㅠ"
화공,쑤기~,5.0,맛있어요최고~
