place_id,user_id,score,comment
진호관,다니지니,3.0,"음식 및 서비스 등은 괜찮으나 너무 비싸요
23.3월기준 곰탕 갈비탕 13천원하네요"
진호관,ddongja,5.0,
진호관,grealish jack,4.0,
진호관,김성규,4.0,
진호관,백승진 (삼호),4.0,소소
진호관,이장민,1.0,
진호관,백철우,4.0,
진호관,갈비 부계정,5.0,
진호관,jingeun kim,5.0,
진호관,남자김창수,5.0,
진호관,김영구,1.0,
진호관,옥황상제,5.0,
진호관,"어피치,",3.0,
진호관,1298 hh,5.0,
진호관,Seungjin Baek,4.0,
진호관,J Park,5.0,
진호관,Hyuno Sung,4.0,
진호관,공정훈,5.0,
진호관,선화정,1.0,
진호관,SeungKi Shin,3.0,
진호관,몰라두돼,5.0,
진호관,맛차,5.0,역시 맛 최고!!! 친절하시고 깍뚜기는 덤맛이네요..식혜까지 솔~솔해요...매장영업시간대인 11시부터 2시까지는 식당주변도로 주차 무난 ..이 시간대 cctv단속은업따고..ㅎㅎ..팁~~앞 시쳥주차 1시간 무료
진호관,코뿌리,3.0,저에겐 그저그런 맛입니다. 딱히 잘 모르겠네요.갈비탕이라기 보단 곰국의 느낌에 더 가까운듯합니다! 가성비도 좀 아쉽네요!하지만 정말 친절하십니다!!고기는 굉장히 부드러워요!
진호관,하우,5.0,갈비탕도 맛있고 비빔밥도 맛있네요! 사장님도 일하시는분들도 정말 친절하세요!!!
진호관,ㅇㅇ,5.0,울산에서 갈비탕 제대로 하는 집
진호관,언탁,5.0,
진호관,김형준,5.0,
진호관,헬레나*,5.0,울산에서 먹어본 곳 중 최고!식당은 깨끗하고 음식은 맛있고 사장님 마인드는 넉넉한 곳.
진호관,깜짝맘,5.0,
진호관,손오반,4.0,
진호관,마르스,4.0,집에서 어머니가 정성스레 끓여주신 맛같은이곳만의 특별함은 이정도
진호관,박준한,4.0,고기 양많고 깔끔 정갈~~~!!!
진호관,바디걸즈,3.0,
